MAE,N,RMSE,R_scenario,bias,empirical_coverage,experiment,forecast_mode,horizon,interval_score,maximum_AE,mean_interval_width,median_AE,target_phase
17.349,85,22.38,R_high,-3.555,0.929,Experiment A,F1_no_future_event_knowledge,1h,111.555,72.759,83.722,13.119,accumulation
6.564,32,8.652,R_high,3.635,1.0,Experiment A,F1_no_future_event_knowledge,1h,83.675,19.042,83.675,5.288,baseline
6.847,46,8.695,R_high,5.356,1.0,Experiment A,F1_no_future_event_knowledge,1h,83.098,20.0,83.098,5.864,post_event
23.946,4,35.567,R_high,18.446,0.75,Experiment A,F1_no_future_event_knowledge,1h,336.635,68.783,67.416,12.0,rapid_removal
19.207,85,25.216,R_high,-7.265,0.988,Experiment A,F1_no_future_event_knowledge,3h,129.333,81.765,118.811,13.989,accumulation
11.087,30,12.639,R_high,8.346,1.0,Experiment A,F1_no_future_event_knowledge,3h,118.779,24.18,118.779,9.811,baseline
11.251,46,13.436,R_high,10.784,1.0,Experiment A,F1_no_future_event_knowledge,3h,116.497,29.902,116.497,11.846,post_event
63.051,4,89.502,R_high,61.551,0.5,Experiment A,F1_no_future_event_knowledge,3h,1234.325,164.483,90.395,42.36,rapid_removal
23.692,85,30.647,R_high,-12.239,0.988,Experiment A,F1_no_future_event_knowledge,6h,155.778,79.66,154.688,16.382,accumulation
16.664,27,19.62,R_high,15.867,1.0,Experiment A,F1_no_future_event_knowledge,6h,154.663,34.992,154.663,15.682,baseline
21.908,46,34.32,R_high,21.908,0.978,Experiment A,F1_no_future_event_knowledge,6h,249.8,191.303,150.706,17.779,post_event
145.995,4,155.204,R_high,145.995,0.25,Experiment A,F1_no_future_event_knowledge,6h,3090.648,198.944,154.688,163.342,rapid_removal
20.065,85,25.269,R_low,-2.153,0.835,Experiment A,F1_no_future_event_knowledge,1h,154.543,75.182,64.668,15.999,accumulation
6.632,32,8.644,R_low,2.026,1.0,Experiment A,F1_no_future_event_knowledge,1h,64.63,21.188,64.63,5.611,baseline
6.008,46,7.816,R_low,3.067,1.0,Experiment A,F1_no_future_event_knowledge,1h,64.609,20.0,64.609,4.592,post_event
25.924,4,39.407,R_low,20.424,0.75,Experiment A,F1_no_future_event_knowledge,1h,506.292,76.698,62.652,12.0,rapid_removal
20.234,85,26.467,R_low,-5.95,0.953,Experiment A,F1_no_future_event_knowledge,3h,131.305,91.234,107.101,17.065,accumulation
10.158,30,11.843,R_low,6.679,1.0,Experiment A,F1_no_future_event_knowledge,3h,107.078,21.622,107.078,8.685,baseline
10.392,46,12.45,R_low,8.603,1.0,Experiment A,F1_no_future_event_knowledge,3h,105.648,28.631,105.648,8.588,post_event
63.987,4,88.476,R_low,62.487,0.5,Experiment A,F1_no_future_event_knowledge,3h,1383.02,157.043,84.54,47.953,rapid_removal
24.446,85,31.983,R_low,-10.975,0.976,Experiment A,F1_no_future_event_knowledge,6h,162.592,104.702,146.744,19.404,accumulation
15.761,27,18.704,R_low,14.233,1.0,Experiment A,F1_no_future_event_knowledge,6h,146.728,36.051,146.728,14.678,baseline
20.01,46,32.76,R_low,19.894,0.978,Experiment A,F1_no_future_event_knowledge,6h,240.086,184.224,143.693,15.558,post_event
147.519,4,157.595,R_low,147.519,0.25,Experiment A,F1_no_future_event_knowledge,6h,3267.874,209.585,146.744,161.322,rapid_removal
18.791,85,23.788,R_nominal,-2.534,0.906,Experiment A,F1_no_future_event_knowledge,1h,130.728,75.656,70.55,14.527,accumulation
6.388,32,8.432,R_nominal,2.467,1.0,Experiment A,F1_no_future_event_knowledge,1h,70.456,19.703,70.456,4.843,baseline
6.174,46,7.923,R_nominal,3.694,1.0,Experiment A,F1_no_future_event_knowledge,1h,70.352,20.0,70.352,4.723,post_event
25.026,4,37.66,R_nominal,19.526,0.75,Experiment A,F1_no_future_event_knowledge,1h,442.403,73.103,64.123,12.0,rapid_removal
19.477,85,25.632,R_nominal,-6.316,0.965,Experiment A,F1_no_future_event_knowledge,3h,125.963,86.902,110.521,15.905,accumulation
10.334,30,11.963,R_nominal,7.149,1.0,Experiment A,F1_no_future_event_knowledge,3h,110.461,22.369,110.461,9.512,baseline
10.549,46,12.618,R_nominal,9.212,1.0,Experiment A,F1_no_future_event_knowledge,3h,108.838,29.282,108.838,9.751,post_event
63.826,4,89.234,R_nominal,62.326,0.5,Experiment A,F1_no_future_event_knowledge,3h,1344.08,160.967,86.25,45.668,rapid_removal
23.974,85,31.253,R_nominal,-11.331,0.988,Experiment A,F1_no_future_event_knowledge,6h,158.322,94.273,149.022,17.727,accumulation
16.011,27,18.868,R_nominal,14.695,1.0,Experiment A,F1_no_future_event_knowledge,6h,148.978,33.583,148.978,14.74,baseline
20.534,46,33.361,R_nominal,20.481,0.978,Experiment A,F1_no_future_event_knowledge,6h,244.367,187.957,145.719,16.665,post_event
146.837,4,156.514,R_nominal,146.837,0.25,Experiment A,F1_no_future_event_knowledge,6h,3205.302,205.238,149.022,161.962,rapid_removal
17.349,85,22.38,R_high,-3.555,0.929,Experiment A,F2_known_intervention_scenario,1h,111.555,72.759,83.722,13.119,accumulation
6.564,32,8.652,R_high,3.635,1.0,Experiment A,F2_known_intervention_scenario,1h,83.675,19.042,83.675,5.288,baseline
6.847,46,8.695,R_high,5.356,1.0,Experiment A,F2_known_intervention_scenario,1h,83.098,20.0,83.098,5.864,post_event
35.75,4,58.705,R_high,-27.75,0.75,Experiment A,F2_known_intervention_scenario,1h,912.08,116.0,61.98,12.0,rapid_removal
19.207,85,25.216,R_high,-7.265,0.988,Experiment A,F2_known_intervention_scenario,3h,129.333,81.765,118.811,13.989,accumulation
11.087,30,12.639,R_high,8.346,1.0,Experiment A,F2_known_intervention_scenario,3h,118.779,24.18,118.779,9.811,baseline
11.251,46,13.436,R_high,10.784,1.0,Experiment A,F2_known_intervention_scenario,3h,116.497,29.902,116.497,11.846,post_event
35.75,4,58.705,R_high,-27.75,0.75,Experiment A,F2_known_intervention_scenario,3h,912.08,116.0,61.98,12.0,rapid_removal
23.692,85,30.647,R_high,-12.239,0.988,Experiment A,F2_known_intervention_scenario,6h,155.778,79.66,154.688,16.382,accumulation
16.664,27,19.62,R_high,15.867,1.0,Experiment A,F2_known_intervention_scenario,6h,154.663,34.992,154.663,15.682,baseline
18.131,46,19.702,R_high,18.131,1.0,Experiment A,F2_known_intervention_scenario,6h,148.148,34.726,148.148,17.779,post_event
35.75,4,58.705,R_high,-27.75,0.75,Experiment A,F2_known_intervention_scenario,6h,912.08,116.0,61.98,12.0,rapid_removal
20.065,85,25.269,R_low,-2.153,0.835,Experiment A,F2_known_intervention_scenario,1h,154.543,75.182,64.668,15.999,accumulation
6.632,32,8.644,R_low,2.026,1.0,Experiment A,F2_known_intervention_scenario,1h,64.63,21.188,64.63,5.611,baseline
6.008,46,7.816,R_low,3.067,1.0,Experiment A,F2_known_intervention_scenario,1h,64.609,20.0,64.609,4.592,post_event
35.75,4,58.705,R_low,-27.75,0.75,Experiment A,F2_known_intervention_scenario,1h,912.08,116.0,61.98,12.0,rapid_removal
20.234,85,26.467,R_low,-5.95,0.953,Experiment A,F2_known_intervention_scenario,3h,131.305,91.234,107.101,17.065,accumulation
10.158,30,11.843,R_low,6.679,1.0,Experiment A,F2_known_intervention_scenario,3h,107.078,21.622,107.078,8.685,baseline
10.392,46,12.45,R_low,8.603,1.0,Experiment A,F2_known_intervention_scenario,3h,105.648,28.631,105.648,8.588,post_event
35.75,4,58.705,R_low,-27.75,0.75,Experiment A,F2_known_intervention_scenario,3h,912.08,116.0,61.98,12.0,rapid_removal
24.446,85,31.983,R_low,-10.975,0.976,Experiment A,F2_known_intervention_scenario,6h,162.592,104.702,146.744,19.404,accumulation
15.761,27,18.704,R_low,14.233,1.0,Experiment A,F2_known_intervention_scenario,6h,146.728,36.051,146.728,14.678,baseline
16.387,46,18.476,R_low,16.271,1.0,Experiment A,F2_known_intervention_scenario,6h,141.308,37.43,141.308,15.558,post_event
35.75,4,58.705,R_low,-27.75,0.75,Experiment A,F2_known_intervention_scenario,6h,912.08,116.0,61.98,12.0,rapid_removal
18.791,85,23.788,R_nominal,-2.534,0.906,Experiment A,F2_known_intervention_scenario,1h,130.728,75.656,70.55,14.527,accumulation
6.388,32,8.432,R_nominal,2.467,1.0,Experiment A,F2_known_intervention_scenario,1h,70.456,19.703,70.456,4.843,baseline
6.174,46,7.923,R_nominal,3.694,1.0,Experiment A,F2_known_intervention_scenario,1h,70.352,20.0,70.352,4.723,post_event
35.75,4,58.705,R_nominal,-27.75,0.75,Experiment A,F2_known_intervention_scenario,1h,912.08,116.0,61.98,12.0,rapid_removal
19.477,85,25.632,R_nominal,-6.316,0.965,Experiment A,F2_known_intervention_scenario,3h,125.963,86.902,110.521,15.905,accumulation
10.334,30,11.963,R_nominal,7.149,1.0,Experiment A,F2_known_intervention_scenario,3h,110.461,22.369,110.461,9.512,baseline
10.549,46,12.618,R_nominal,9.212,1.0,Experiment A,F2_known_intervention_scenario,3h,108.838,29.282,108.838,9.751,post_event
35.75,4,58.705,R_nominal,-27.75,0.75,Experiment A,F2_known_intervention_scenario,3h,912.08,116.0,61.98,12.0,rapid_removal
23.974,85,31.253,R_nominal,-11.331,0.988,Experiment A,F2_known_intervention_scenario,6h,158.322,94.273,149.022,17.727,accumulation
16.011,27,18.868,R_nominal,14.695,1.0,Experiment A,F2_known_intervention_scenario,6h,148.978,33.583,148.978,14.74,baseline
16.83,46,18.732,R_nominal,16.776,1.0,Experiment A,F2_known_intervention_scenario,6h,143.284,35.294,143.284,16.665,post_event
35.75,4,58.705,R_nominal,-27.75,0.75,Experiment A,F2_known_intervention_scenario,6h,912.08,116.0,61.98,12.0,rapid_removal
17.816,110,22.041,R_high,-6.988,0.8,Experiment B,F1_no_future_event_knowledge,1h,122.731,60.067,61.348,15.059,accumulation
8.677,32,9.929,R_high,7.614,1.0,Experiment B,F1_no_future_event_knowledge,1h,61.615,20.702,61.615,8.614,baseline
8.505,46,9.841,R_high,8.206,1.0,Experiment B,F1_no_future_event_knowledge,1h,60.55,17.528,60.55,8.651,post_event
65.971,3,98.698,R_high,57.579,0.667,Experiment B,F1_no_future_event_knowledge,1h,1901.547,169.775,46.867,15.55,rapid_removal
20.507,110,26.418,R_high,-11.773,0.864,Experiment B,F1_no_future_event_knowledge,3h,142.982,71.581,80.175,19.441,accumulation
13.711,30,15.267,R_high,13.711,1.0,Experiment B,F1_no_future_event_knowledge,3h,80.376,27.391,80.376,13.3,baseline
14.099,46,15.529,R_high,13.993,1.0,Experiment B,F1_no_future_event_knowledge,3h,78.23,23.74,78.23,15.258,post_event
115.42,3,137.948,R_high,108.123,0.333,Experiment B,F1_no_future_event_knowledge,3h,3468.498,187.035,66.644,148.28,rapid_removal
25.644,110,31.632,R_high,-17.988,0.918,Experiment B,F1_no_future_event_knowledge,6h,156.348,87.341,99.912,23.663,accumulation
21.75,27,22.919,R_high,21.75,1.0,Experiment B,F1_no_future_event_knowledge,6h,100.069,36.81,100.069,21.249,baseline
29.433,46,43.976,R_high,29.432,0.957,Experiment B,F1_no_future_event_knowledge,6h,321.149,186.195,97.967,23.922,post_event
153.635,3,154.0,R_high,153.635,0.0,Experiment B,F1_no_future_event_knowledge,6h,4247.085,167.593,99.912,151.372,rapid_removal
18.847,110,22.742,R_low,-3.478,0.582,Experiment B,F1_no_future_event_knowledge,1h,208.631,57.467,42.893,17.489,accumulation
6.656,32,7.766,R_low,3.774,1.0,Experiment B,F1_no_future_event_knowledge,1h,42.847,16.755,42.847,6.226,baseline
5.336,46,6.949,R_low,4.04,1.0,Experiment B,F1_no_future_event_knowledge,1h,42.812,17.017,42.812,3.865,post_event
66.734,3,104.668,R_low,57.312,0.667,Experiment B,F1_no_future_event_knowledge,1h,2163.294,180.658,40.481,14.133,rapid_removal
21.05,110,26.905,R_low,-8.767,0.818,Experiment B,F1_no_future_event_knowledge,3h,174.115,76.624,68.389,19.82,accumulation
10.796,30,12.492,R_low,10.127,1.0,Experiment B,F1_no_future_event_knowledge,3h,68.362,24.385,68.362,10.16,baseline
10.608,46,12.177,R_low,10.165,1.0,Experiment B,F1_no_future_event_knowledge,3h,67.428,19.516,67.428,10.132,post_event
124.672,3,149.756,R_low,117.511,0.333,Experiment B,F1_no_future_event_knowledge,3h,3990.584,205.938,58.784,157.337,rapid_removal
25.297,110,31.673,R_low,-15.03,0.873,Experiment B,F1_no_future_event_knowledge,6h,178.855,86.926,91.99,21.566,accumulation
18.318,27,19.885,R_low,18.318,1.0,Experiment B,F1_no_future_event_knowledge,6h,91.971,34.317,91.971,16.311,baseline
26.799,46,44.848,R_low,26.799,0.957,Experiment B,F1_no_future_event_knowledge,6h,343.608,203.809,90.882,20.376,post_event
145.342,3,146.422,R_low,145.342,0.0,Experiment B,F1_no_future_event_knowledge,6h,4065.883,166.117,91.99,147.16,rapid_removal
17.881,110,21.884,R_nominal,-4.59,0.682,Experiment B,F1_no_future_event_knowledge,1h,158.741,57.297,49.351,15.5,accumulation
6.912,32,8.185,R_nominal,4.988,1.0,Experiment B,F1_no_future_event_knowledge,1h,49.288,17.729,49.288,6.766,baseline
6.118,46,7.569,R_nominal,5.321,1.0,Experiment B,F1_no_future_event_knowledge,1h,49.091,17.171,49.091,5.104,post_event
67.323,3,103.16,R_nominal,58.281,0.667,Experiment B,F1_no_future_event_knowledge,1h,2085.053,177.85,42.72,13.563,rapid_removal
20.51,110,26.227,R_nominal,-9.67,0.855,Experiment B,F1_no_future_event_knowledge,3h,159.096,75.349,72.244,18.049,accumulation
11.607,30,13.232,R_nominal,11.243,1.0,Experiment B,F1_no_future_event_knowledge,3h,72.203,23.449,72.203,10.004,baseline
11.659,46,13.104,R_nominal,11.353,1.0,Experiment B,F1_no_future_event_knowledge,3h,71.008,20.655,71.008,12.59,post_event
120.09,3,144.013,R_nominal,112.894,0.333,Experiment B,F1_no_future_event_knowledge,3h,3757.795,197.495,61.355,151.982,rapid_removal
25.161,110,31.18,R_nominal,-15.896,0.882,Experiment B,F1_no_future_event_knowledge,6h,167.352,87.075,94.514,22.169,accumulation
19.388,27,20.736,R_nominal,19.388,1.0,Experiment B,F1_no_future_event_knowledge,6h,94.484,34.838,94.484,18.606,baseline
27.505,46,44.069,R_nominal,27.505,0.957,Experiment B,F1_no_future_event_knowledge,6h,332.524,195.942,93.171,21.372,post_event
147.056,3,147.723,R_nominal,147.056,0.0,Experiment B,F1_no_future_event_knowledge,6h,4086.461,163.806,94.514,147.874,rapid_removal
17.816,110,22.041,R_high,-6.988,0.8,Experiment B,F2_known_intervention_scenario,1h,122.731,60.067,61.348,15.059,accumulation
8.677,32,9.929,R_high,7.614,1.0,Experiment B,F2_known_intervention_scenario,1h,61.615,20.702,61.615,8.614,baseline
8.505,46,9.841,R_high,8.206,1.0,Experiment B,F2_known_intervention_scenario,1h,60.55,17.528,60.55,8.651,post_event
9.519,3,11.553,R_high,0.848,1.0,Experiment B,F2_known_intervention_scenario,1h,39.669,15.55,39.669,12.588,rapid_removal
20.507,110,26.418,R_high,-11.773,0.864,Experiment B,F2_known_intervention_scenario,3h,142.982,71.581,80.175,19.441,accumulation
13.711,30,15.267,R_high,13.711,1.0,Experiment B,F2_known_intervention_scenario,3h,80.376,27.391,80.376,13.3,baseline
14.099,46,15.529,R_high,13.993,1.0,Experiment B,F2_known_intervention_scenario,3h,78.23,23.74,78.23,15.258,post_event
6.174,3,8.415,R_high,-5.534,1.0,Experiment B,F2_known_intervention_scenario,3h,39.853,14.133,39.853,3.429,rapid_removal
25.644,110,31.632,R_high,-17.988,0.918,Experiment B,F2_known_intervention_scenario,6h,156.348,87.341,99.912,23.663,accumulation
21.75,27,22.919,R_high,21.75,1.0,Experiment B,F2_known_intervention_scenario,6h,100.069,36.81,100.069,21.249,baseline
21.89,46,23.458,R_high,21.489,1.0,Experiment B,F2_known_intervention_scenario,6h,94.757,35.651,94.757,22.868,post_event
6.369,3,8.582,R_high,-5.983,1.0,Experiment B,F2_known_intervention_scenario,6h,40.144,14.211,40.144,4.318,rapid_removal
18.847,110,22.742,R_low,-3.478,0.582,Experiment B,F2_known_intervention_scenario,1h,208.631,57.467,42.893,17.489,accumulation
6.656,32,7.766,R_low,3.774,1.0,Experiment B,F2_known_intervention_scenario,1h,42.847,16.755,42.847,6.226,baseline
5.336,46,6.949,R_low,4.04,1.0,Experiment B,F2_known_intervention_scenario,1h,42.812,17.017,42.812,3.865,post_event
6.884,3,8.761,R_low,-2.538,1.0,Experiment B,F2_known_intervention_scenario,1h,39.275,14.133,39.275,5.411,rapid_removal
21.05,110,26.905,R_low,-8.767,0.818,Experiment B,F2_known_intervention_scenario,3h,174.115,76.624,68.389,19.82,accumulation
10.796,30,12.492,R_low,10.127,1.0,Experiment B,F2_known_intervention_scenario,3h,68.362,24.385,68.362,10.16,baseline
10.608,46,12.177,R_low,10.165,1.0,Experiment B,F2_known_intervention_scenario,3h,67.428,19.516,67.428,10.132,post_event
5.865,3,8.274,R_low,-4.978,1.0,Experiment B,F2_known_intervention_scenario,3h,39.708,14.104,39.708,2.16,rapid_removal
25.297,110,31.673,R_low,-15.03,0.873,Experiment B,F2_known_intervention_scenario,6h,178.855,86.926,91.99,21.566,accumulation
18.318,27,19.885,R_low,18.318,1.0,Experiment B,F2_known_intervention_scenario,6h,91.971,34.317,91.971,16.311,baseline
18.689,46,20.355,R_low,18.288,1.0,Experiment B,F2_known_intervention_scenario,6h,88.016,35.196,88.016,18.931,post_event
7.26,3,9.159,R_low,-6.893,1.0,Experiment B,F2_known_intervention_scenario,6h,40.021,14.223,40.021,7.006,rapid_removal
17.881,110,21.884,R_nominal,-4.59,0.682,Experiment B,F2_known_intervention_scenario,1h,158.741,57.297,49.351,15.5,accumulation
6.912,32,8.185,R_nominal,4.988,1.0,Experiment B,F2_known_intervention_scenario,1h,49.288,17.729,49.288,6.766,baseline
6.118,46,7.569,R_nominal,5.321,1.0,Experiment B,F2_known_intervention_scenario,1h,49.091,17.171,49.091,5.104,post_event
8.278,3,9.931,R_nominal,-0.764,1.0,Experiment B,F2_known_intervention_scenario,1h,39.411,13.563,39.411,10.556,rapid_removal
20.51,110,26.227,R_nominal,-9.67,0.855,Experiment B,F2_known_intervention_scenario,3h,159.096,75.349,72.244,18.049,accumulation
11.607,30,13.232,R_nominal,11.243,1.0,Experiment B,F2_known_intervention_scenario,3h,72.203,23.449,72.203,10.004,baseline
11.659,46,13.104,R_nominal,11.353,1.0,Experiment B,F2_known_intervention_scenario,3h,71.008,20.655,71.008,12.59,post_event
6.063,3,8.346,R_nominal,-5.286,1.0,Experiment B,F2_known_intervention_scenario,3h,39.753,14.112,39.753,2.911,rapid_removal
25.161,110,31.18,R_nominal,-15.896,0.882,Experiment B,F2_known_intervention_scenario,6h,167.352,87.075,94.514,22.169,accumulation
19.388,27,20.736,R_nominal,19.388,1.0,Experiment B,F2_known_intervention_scenario,6h,94.484,34.838,94.484,18.606,baseline
19.675,46,21.252,R_nominal,19.274,1.0,Experiment B,F2_known_intervention_scenario,6h,90.195,35.333,90.195,19.569,post_event
6.929,3,8.93,R_nominal,-6.593,1.0,Experiment B,F2_known_intervention_scenario,6h,40.059,14.221,40.059,6.062,rapid_removal
