start,end,episode_type,starting_radon,ending_radon,max_radon,duration_hours,robust_episode_slope_bq_m3_per_hour,confidence_score,confidence_category,confidence_reason_codes,distance_from_previous_gap_hours,distance_to_next_gap_hours,analysis_report_id
2024-05-27T23:47:00+00:00,2024-05-28T04:47:00+00:00,ACCUMULATION,227.0,238.0,284.0,5.0,2.2,0.719,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",157.0,198.967,16
2024-06-13T01:44:00+00:00,2024-06-13T03:44:00+00:00,ACCUMULATION,251.0,214.0,277.0,2.0,-18.5,0.876,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW""]",180.0,88.0,16
2024-05-28T06:47:00+00:00,2024-05-28T15:47:00+00:00,UNSTABLE_TRANSITION,251.0,273.0,273.0,7.0,-4.333,0.952,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SUFFICIENT_WINDOW""]",164.0,193.967,16
2024-05-28T23:47:00+00:00,2024-05-29T10:47:00+00:00,STABLE_HIGH,228.0,210.0,260.0,7.0,-0.6,0.765,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",181.0,174.967,16
2024-06-13T04:44:00+00:00,2024-06-13T09:44:00+00:00,UNSTABLE_TRANSITION,208.0,258.0,258.0,3.0,10.667,0.968,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW""]",183.0,84.0,16
2024-05-29T13:47:00+00:00,2024-05-29T14:47:00+00:00,UNSTABLE_TRANSITION,258.0,251.0,258.0,1.0,-7.0,0.875,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",195.0,164.967,16
2024-06-12T09:44:00+00:00,2024-06-12T16:44:00+00:00,UNSTABLE_TRANSITION,255.0,205.0,255.0,7.0,-7.143,0.906,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW""]",164.0,99.0,16
2024-05-28T19:47:00+00:00,2024-05-28T22:47:00+00:00,UNSTABLE_TRANSITION,255.0,225.0,255.0,1.0,N/A,1.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW""]",177.0,183.967,16
2024-05-29T11:47:00+00:00,2024-05-29T12:47:00+00:00,UNSTABLE_TRANSITION,227.0,253.0,253.0,1.0,26.0,0.802,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SUFFICIENT_WINDOW""]",193.0,166.967,16
2024-06-12T19:44:00+00:00,2024-06-13T00:44:00+00:00,UNSTABLE_TRANSITION,185.0,219.0,242.0,5.0,6.8,0.959,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW""]",174.0,91.0,16
2024-05-29T18:47:00+00:00,2024-05-29T21:47:00+00:00,UNSTABLE_TRANSITION,197.0,238.0,238.0,3.0,13.667,0.91,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""MATERIAL_TREND_AMBIGUITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW""]",200.0,157.967,16
2024-05-26T19:47:00+00:00,2024-05-27T03:47:00+00:00,UNSTABLE_TRANSITION,170.0,236.0,236.0,6.0,4.333,0.938,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",129.0,225.967,16
2024-05-28T05:47:00+00:00,2024-05-28T05:47:00+00:00,STABLE_HIGH,232.0,232.0,232.0,0.0,N/A,0.954,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_SLOPE_NEGATIVE"", ""SUFFICIENT_WINDOW""]",163.0,197.967,16
2024-05-29T22:47:00+00:00,2024-05-29T22:47:00+00:00,UNSTABLE_TRANSITION,228.0,228.0,228.0,0.0,N/A,0.788,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",204.0,156.967,16
2024-06-13T17:44:00+00:00,2024-06-13T21:44:00+00:00,STABLE_HIGH,194.0,223.0,228.0,0,N/A,0.538,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SUFFICIENT_WINDOW""]",196.0,74.0,16
2024-05-28T16:47:00+00:00,2024-05-28T18:47:00+00:00,DECLINE,225.0,227.0,227.0,2.0,1.0,0.816,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_NEAR_THRESHOLD"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",174.0,184.967,16
2024-06-13T10:44:00+00:00,2024-06-13T12:44:00+00:00,STABLE_HIGH,225.0,190.0,225.0,2.0,-17.5,0.821,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW""]",189.0,79.0,16
2024-05-27T09:47:00+00:00,2024-05-27T19:47:00+00:00,STABLE_HIGH,223.0,225.0,225.0,10.0,0.2,0.76,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",143.0,207.967,16
2024-06-13T13:44:00+00:00,2024-06-13T13:44:00+00:00,UNSTABLE_TRANSITION,225.0,225.0,225.0,0.0,N/A,0.7,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW""]",192.0,78.0,16
2024-06-11T23:44:00+00:00,2024-06-12T04:44:00+00:00,UNSTABLE_TRANSITION,221.0,212.0,223.0,5.0,-1.8,0.949,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW""]",154.0,111.0,16
